,Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro,0 - 62 MPH (Sec) Estimation,Top Speed (MPH) Estimation,Range (Mi) Estimation,Efficiency (Wh/mi) Estimation,0_62_mph_raw,top_speed_raw,range_raw,efficiency_raw
109,Peugeot,e-Rifter Standard 50 kWh,45.0,M,FWD,Mini Van,7,11.7,84,120,375*,37590.0,0,0,0,1,11.7,84.0,120.0,375.0
110,Peugeot,e-Traveller Compact 50 kWh,45.0,M,FWD,Mini Van,9,12.1,81,110,405*,50880.0,0,0,0,1,12.1,81.0,110.0,405.0
111,Peugeot,e-Traveller Long 50 kWh,45.0,M,FWD,Mini Van,8,13.1,81,110,405*,56690.0,0,0,0,1,13.1,81.0,110.0,405.0
112,Peugeot,e-Traveller Long 75 kWh,68.0,M,FWD,Mini Van,9,13.3,81,160,425*,58230.0,0,0,0,1,13.3,81.0,160.0,425.0
113,Peugeot,e-Traveller Standard 50 kWh,45.0,M,FWD,Mini Van,8,13.1,81,110,405*,55900.0,0,0,0,1,13.1,81.0,110.0,405.0
114,Peugeot,e-Traveller Standard 75 kWh,68.0,M,FWD,Mini Van,9,13.3,81,160,425*,57440.0,0,0,0,1,13.3,81.0,160.0,425.0
115,Polestar,2 Long Range Dual Motor,75.0,D,AWD,Sedan,5,4.7,127,245,305,52500.0,0,0,0,0,4.7,127.0,245.0,305.0
116,Polestar,2 Long Range Single Motor,75.0,D,FWD,Sedan,5,7.4,99,265,280,49500.0,0,0,0,0,7.4,99.0,265.0,280.0
117,Polestar,2 Standard Range Single Motor,61.0,D,FWD,Sedan,5,7.4,99,215,280,46500.0,0,0,0,0,7.4,99.0,215.0,280.0
118,Porsche,Taycan,71.0,F,RWD,Sedan,4,5.4,143,245,285,83520.0,0,0,0,0,5.4,143.0,245.0,285.0
119,Porsche,Taycan 4,71.0,F,AWD,Sedan,4,4,155,230,305,106487.0,0,0,0,0,4.0,155.0,230.0,305.0
120,Porsche,Taycan 4 Cross Turismo,83.7,F,AWD,Sedan,4,5.1,137,250,330*,93635.0,0,0,0,1,5.1,137.0,250.0,330.0
121,Porsche,Taycan 4S Cross Turismo,83.7,F,AWD,Sedan,4,4.1,149,250,330*,111842.0,0,0,0,1,4.1,149.0,250.0,330.0
122,Porsche,Taycan 4S Plus,83.7,F,AWD,Sedan,4,4,155,270,310,113008.0,0,0,0,0,4.0,155.0,270.0,310.0
123,Porsche,Taycan Plus,83.7,F,RWD,Sedan,4,5.4,143,285,290,89244.0,0,0,0,0,5.4,143.0,285.0,290.0
124,Porsche,Taycan Turbo,83.7,F,AWD,Sedan,4,3.2,162,245,340,153016.0,0,0,0,0,3.2,162.0,245.0,340.0
125,Porsche,Taycan Turbo Cross Turismo,83.7,F,AWD,Sedan,4,3.3,155,240,345*,154444.0,0,0,0,1,3.3,155.0,240.0,345.0
126,Porsche,Taycan Turbo S,83.7,F,AWD,Sedan,4,2.8,162,245,340,186336.0,0,0,0,0,2.8,162.0,245.0,340.0
127,Porsche,Taycan Turbo S Cross Turismo,83.7,F,AWD,Sedan,4,2.9,155,235,355*,187746.0,0,0,0,1,2.9,155.0,235.0,355.0
